occupation,avg_annual_growth,2019,2023,growth_2019_2023
"Media and communication equipment workers, all other",inf,0.0,1.0,inf
Desktop publishers,inf,0.0,3.0,inf
Survey researchers,inf,0.0,2.0,inf
Rail-track laying and maintenance equipment operators,112.5,4.0,22.0,450.0
"Life scientists, all other",75.0,2.0,8.0,300.0
Social science research assistants,75.0,1.0,4.0,300.0
Wind turbine service technicians,62.5,2.0,7.0,250.0
Food cooking machine operators and tenders,58.333333333333336,3.0,10.0,233.33333333333334
"Motor vehicle operators, all other",55.3030303030303,66.0,212.0,221.2121212121212
Exercise physiologists,50.0,2.0,6.0,200.0
Judicial law clerks,42.857142857142854,7.0,19.0,171.42857142857142
Natural sciences managers,40.0,15.0,39.0,160.0
Agricultural and food science technicians,35.0,20.0,48.0,140.0
"Woodworking machine setters, operators, and tenders, except sawing",33.33333333333333,12.0,28.0,133.33333333333331
Couriers and messengers,32.77363184079602,402.0,929.0,131.09452736318408
Photographic process workers and processing machine operators,32.69230769230769,13.0,30.0,130.76923076923077
Miscellaneous construction and related workers,25.78125,32.0,65.0,103.125
Sociologists,25.0,2.0,4.0,100.0
Brokerage clerks,25.0,3.0,6.0,100.0
Nuclear technicians,25.0,3.0,6.0,100.0
"Business operations specialists, all other",24.349442379182157,269.0,531.0,97.39776951672863
Information security analysts,21.2,125.0,231.0,84.8
Computer and information research scientists,20.833333333333336,24.0,44.0,83.33333333333334
Reinforcing iron and rebar workers,20.833333333333336,6.0,11.0,83.33333333333334
Parking enforcement workers,18.75,4.0,7.0,75.0
Emergency management directors,17.857142857142858,7.0,12.0,71.42857142857143
Recreational therapists,17.5,10.0,17.0,70.0
Supervisors of transportation and material moving workers,17.354368932038835,206.0,349.0,69.41747572815534
Engine and other machine assemblers,16.666666666666664,9.0,15.0,66.66666666666666
Mathematicians,16.666666666666664,3.0,5.0,66.66666666666666
Surveying and mapping technicians,16.037735849056602,53.0,87.0,64.15094339622641
Conservation scientists and foresters,15.0,20.0,32.0,60.0
Procurement clerks,14.655172413793101,29.0,46.0,58.620689655172406
"Archivists, curators, and museum technicians",14.583333333333334,48.0,76.0,58.333333333333336
Credit analysts,14.285714285714285,28.0,44.0,57.14285714285714
"Interviewers, except eligibility and loan",14.122137404580155,131.0,205.0,56.48854961832062
Environmental engineers,13.0,25.0,38.0,52.0
Public relations and fundraising managers,12.67123287671233,73.0,110.0,50.68493150684932
Atmospheric and space scientists,12.5,10.0,15.0,50.0
Animal breeders,12.5,10.0,15.0,50.0
Fish and game wardens,12.5,4.0,6.0,50.0
Aircraft pilots and flight engineers,12.411347517730496,141.0,211.0,49.645390070921984
"Computer occupations, all other",12.03589108910891,808.0,1197.0,48.14356435643564
Urban and regional planners,12.0,25.0,37.0,48.0
"Physical scientists, all other",11.996644295302012,298.0,441.0,47.98657718120805
Astronomers and physicists,11.76470588235294,17.0,25.0,47.05882352941176
Jewelers and precious stone and metal workers,11.25,40.0,58.0,45.0
Agricultural inspectors,11.11111111111111,18.0,26.0,44.44444444444444
Miscellaneous social scientists and related workers,10.256410256410255,39.0,55.0,41.02564102564102
Stationary engineers and boiler operators,10.096153846153847,52.0,73.0,40.38461538461539
"Human resources assistants, except payroll and timekeeping",10.0,60.0,84.0,40.0
