occupation,year,employment,prev_employment,growth_rate,unemployment_rate,job_postings_index,real_gdp
Total employed,2020,147795,157538,-6.184539603143369,8.1,83.74636255772407,20267.58475
Total employed,2021,152581,147795,3.2382692242633375,5.358333333333333,130.9696437532002,21494.79825
Total employed,2022,158291,152581,3.742274595133077,3.641666666666667,154.8814589093702,22034.82875
Total employed,2023,161037,158291,1.7347796147601569,3.6333333333333333,131.81276324884792,22671.0965
"Management, professional, and related occupations",2020,63644,64218,-0.8938303902332679,8.1,83.74636255772407,20267.58475
"Management, professional, and related occupations",2023,70275,63644,10.418892590032053,3.6333333333333333,131.81276324884792,22671.0965
Service occupations,2020,22853,26978,-15.29023648899103,8.1,83.74636255772407,20267.58475
Service occupations,2021,24403,22853,6.782479324377544,5.358333333333333,130.9696437532002,21494.79825
Service occupations,2022,25438,24403,4.2412818096135725,3.641666666666667,154.8814589093702,22034.82875
Service occupations,2023,26171,25438,2.8815158424404435,3.6333333333333333,131.81276324884792,22671.0965
Sales and office occupations,2020,29726,33370,-10.919988013185495,8.1,83.74636255772407,20267.58475
Sales and office occupations,2021,30166,29726,1.480185696023683,5.358333333333333,130.9696437532002,21494.79825
Sales and office occupations,2022,30412,30166,0.8154876350858582,3.641666666666667,154.8814589093702,22034.82875
Sales and office occupations,2023,30279,30412,-0.43732737077469425,3.6333333333333333,131.81276324884792,22671.0965
"Natural resources, construction, and maintenance occupations",2020,13357,14343,-6.87443352157847,8.1,83.74636255772407,20267.58475
"Natural resources, construction, and maintenance occupations",2021,13959,13357,4.507000074867111,5.358333333333333,130.9696437532002,21494.79825
"Natural resources, construction, and maintenance occupations",2022,14260,13959,2.156314922272369,3.641666666666667,154.8814589093702,22034.82875
"Natural resources, construction, and maintenance occupations",2023,14326,14260,0.4628330995792427,3.6333333333333333,131.81276324884792,22671.0965
"Production, transportation, and material moving occupations",2020,18215,18628,-2.2170925488511917,8.1,83.74636255772407,20267.58475
"Production, transportation, and material moving occupations",2021,19309,18215,6.0060389788635735,5.358333333333333,130.9696437532002,21494.79825
"Production, transportation, and material moving occupations",2022,20082,19309,4.003314516546689,3.641666666666667,154.8814589093702,22034.82875
"Production, transportation, and material moving occupations",2023,19986,20082,-0.47804003585300264,3.6333333333333333,131.81276324884792,22671.0965
