occupation,2019,2020,2021,2022,2023
Accountants and auditors,1964.0,1696.0,1630.0,1652.0,1624.0
Actors,40.0,29.0,45.0,56.0,50.0
Actuaries,33.0,32.0,29.0,30.0,43.0
Acupuncturists,,23.0,24.0,28.0,27.0
Adhesive bonding machine operators and tenders,10.0,11.0,11.0,4.0,10.0
Administrative services managers,184.0,65.0,60.0,69.0,78.0
Advertising and promotions managers,55.0,56.0,72.0,68.0,49.0
Advertising sales agents,190.0,141.0,104.0,130.0,111.0
Aerospace engineers,134.0,129.0,129.0,173.0,166.0
"Agents and business managers of artists, performers, and athletes",47.0,36.0,40.0,39.0,50.0
Agricultural and food science technicians,20.0,41.0,30.0,42.0,48.0
Agricultural and food scientists,37.0,32.0,32.0,19.0,29.0
Agricultural engineers,6.0,7.0,8.0,4.0,4.0
Agricultural inspectors,18.0,14.0,10.0,14.0,26.0
Air traffic controllers and airfield operations specialists,43.0,38.0,31.0,35.0,39.0
Aircraft mechanics and service technicians,152.0,153.0,150.0,149.0,124.0
Aircraft pilots and flight engineers,141.0,155.0,158.0,187.0,211.0
"Aircraft structure, surfaces, rigging, and systems assemblers",8.0,4.0,6.0,6.0,10.0
"Ambulance drivers and attendants, except emergency medical technicians",15.0,10.0,7.0,15.0,16.0
Animal breeders,10.0,4.0,12.0,9.0,15.0
Animal caretakers,,272.0,272.0,305.0,361.0
Animal control workers,10.0,8.0,6.0,9.0,10.0
Animal trainers,63.0,72.0,54.0,66.0,82.0
Announcers,58.0,,,,
Appraisers and assessors of real estate,84.0,,,,
"Architects, except landscape and naval",,190.0,212.0,182.0,203.0
"Architects, except naval",208.0,,,,
Architectural and civil drafters,,38.0,32.0,46.0,33.0
Architectural and engineering managers,154.0,171.0,178.0,202.0,206.0
Architecture and engineering occupations,3305.0,3169.0,3235.0,3464.0,3602.0
"Archivists, curators, and museum technicians",48.0,57.0,62.0,70.0,76.0
Artists and related workers,248.0,256.0,286.0,324.0,334.0
"Arts, design, entertainment, sports, and media occupations",3285.0,3042.0,3151.0,3441.0,3478.0
Astronomers and physicists,17.0,19.0,22.0,26.0,25.0
Athletes and sports competitors,,28.0,37.0,39.0,42.0
"Athletes, coaches, umpires, and related workers",345.0,,,,
Atmospheric and space scientists,10.0,10.0,11.0,12.0,15.0
Audiologists,14.0,20.0,17.0,12.0,19.0
