occupation,employment,year
Total employed,157538,2019
"Management, professional, and related occupations",64218,2019
"Management, business, and financial operations occupations",26981,2019
Management occupations,18985,2019
Chief executives,1602,2019
General and operations managers,1058,2019
Legislators,19,2019
Advertising and promotions managers,55,2019
Marketing and sales managers,1184,2019
Public relations and fundraising managers,73,2019
Administrative services managers,184,2019
Computer and information systems managers,654,2019
Financial managers,1194,2019
Compensation and benefits managers,24,2019
Human resources managers,321,2019
Training and development managers,46,2019
Industrial production managers,274,2019
Purchasing managers,227,2019
"Transportation, storage, and distribution managers",281,2019
"Farmers, ranchers, and other agricultural managers",962,2019
Construction managers,994,2019
Education administrators,958,2019
Architectural and engineering managers,154,2019
Food service managers,1249,2019
Funeral service managers,13,2019
Gaming managers,19,2019
Lodging managers,162,2019
Medical and health services managers,677,2019
Natural sciences managers,15,2019
Postmasters and mail superintendents,30,2019
"Property, real estate, and community association managers",780,2019
Social and community service managers,470,2019
Emergency management directors,7,2019
"Managers, all other",5299,2019
Business and financial operations occupations,7996,2019
"Agents and business managers of artists, performers, and athletes",47,2019
"Buyers and purchasing agents, farm products",16,2019
"Wholesale and retail buyers, except farm products",226,2019
"Purchasing agents, except wholesale, retail, and farm products",279,2019
"Claims adjusters, appraisers, examiners, and investigators",318,2019
Compliance officers,298,2019
Cost estimators,127,2019
Human resources workers,770,2019
"Compensation, benefits, and job analysis specialists",51,2019
Training and development specialists,125,2019
Logisticians,154,2019
Management analysts,950,2019
"Meeting, convention, and event planners",146,2019
Fundraisers,93,2019
Market research analysts and marketing specialists,369,2019
"Business operations specialists, all other",269,2019
Accountants and auditors,1964,2019
Appraisers and assessors of real estate,84,2019
Budget analysts,51,2019
Credit analysts,28,2019
Financial analysts,345,2019
Personal financial advisors,551,2019
Insurance underwriters,105,2019
Financial examiners,21,2019
Credit counselors and loan officers,403,2019
"Tax examiners and collectors, and revenue agents",53,2019
Tax preparers,97,2019
"Financial specialists, all other",57,2019
Professional and related occupations,37237,2019
Computer and mathematical occupations,5352,2019
Computer and information research scientists,24,2019
Computer systems analysts,663,2019
Information security analysts,125,2019
Computer programmers,454,2019
"Software developers, applications and systems software",1815,2019
Web developers,193,2019
Computer support specialists,547,2019
Database administrators,106,2019
Network and computer systems administrators,199,2019
Computer network architects,106,2019
"Computer occupations, all other",808,2019
Actuaries,33,2019
Mathematicians,3,2019
Operations research analysts,152,2019
Statisticians,101,2019
Miscellaneous mathematical science occupations,22,2019
Architecture and engineering occupations,3305,2019
"Architects, except naval",208,2019
"Surveyors, cartographers, and photogrammetrists",48,2019
Aerospace engineers,134,2019
Agricultural engineers,6,2019
Biomedical engineers,25,2019
Chemical engineers,87,2019
Civil engineers,475,2019
Computer hardware engineers,77,2019
Electrical and electronics engineers,285,2019
Environmental engineers,25,2019
"Industrial engineers, including health and safety",245,2019
Marine engineers and naval architects,12,2019
Materials engineers,44,2019
Mechanical engineers,351,2019
"Mining and geological engineers, including mining safety engineers",8,2019
Nuclear engineers,8,2019
Petroleum engineers,24,2019
"Engineers, all other",582,2019
Drafters,113,2019
"Engineering technicians, except drafters",496,2019
Surveying and mapping technicians,53,2019
"Life, physical, and social science occupations",1485,2019
Agricultural and food scientists,37,2019
Biological scientists,104,2019
Conservation scientists and foresters,20,2019
Medical scientists,170,2019
"Life scientists, all other",2,2019
Astronomers and physicists,17,2019
Atmospheric and space scientists,10,2019
Chemists and materials scientists,97,2019
Environmental scientists and geoscientists,119,2019
"Physical scientists, all other",298,2019
Economists,35,2019
Survey researchers,0,2019
Psychologists,234,2019
Sociologists,2,2019
Urban and regional planners,25,2019
Miscellaneous social scientists and related workers,39,2019
Agricultural and food science technicians,20,2019
Biological technicians,23,2019
Chemical technicians,56,2019
Geological and petroleum technicians,20,2019
Nuclear technicians,3,2019
Social science research assistants,1,2019
"Miscellaneous life, physical, and social science technicians",152,2019
Community and social service occupations,2717,2019
Counselors,927,2019
Social workers,823,2019
Probation officers and correctional treatment specialists,97,2019
Social and human service assistants,238,2019
"Miscellaneous community and social service specialists, including health educators and community health workers",78,2019
Clergy,413,2019
"Directors, religious activities and education",72,2019
"Religious workers, all other",69,2019
Legal occupations,1955,2019
Lawyers,1240,2019
Judicial law clerks,7,2019
"Judges, magistrates, and other judicial workers",70,2019
Paralegals and legal assistants,444,2019
Miscellaneous legal support workers,193,2019
"Education, training, and library occupations",9455,2019
Postsecondary teachers,1386,2019
Preschool and kindergarten teachers,655,2019
Elementary and middle school teachers,3604,2019
Secondary school teachers,1015,2019
Special education teachers,331,2019
Other teachers and instructors,1017,2019
