year,month,quarter,employment,date
2020,1,1,2929,2020-01-01
2020,2,1,2929,2020-02-01
2020,3,1,2929,2020-03-01
2020,1,1,0,2020-01-01
2020,2,1,0,2020-02-01
2020,3,1,0,2020-03-01
2020,1,1,537914,2020-01-01
2020,2,1,537914,2020-02-01
2020,3,1,537914,2020-03-01
2020,4,2,2951,2020-04-01
2020,5,2,2951,2020-05-01
2020,6,2,2951,2020-06-01
2020,4,2,0,2020-04-01
2020,5,2,0,2020-05-01
2020,6,2,0,2020-06-01
2020,4,2,504343,2020-04-01
2020,5,2,504343,2020-05-01
2020,6,2,504343,2020-06-01
2020,7,3,2949,2020-07-01
2020,8,3,2949,2020-08-01
2020,9,3,2949,2020-09-01
2020,7,3,0,2020-07-01
2020,8,3,0,2020-08-01
2020,9,3,0,2020-09-01
2020,7,3,494261,2020-07-01
2020,8,3,494261,2020-08-01
2020,9,3,494261,2020-09-01
2020,10,4,2955,2020-10-01
2020,11,4,2955,2020-11-01
2020,12,4,2955,2020-12-01
2020,10,4,0,2020-10-01
2020,11,4,0,2020-11-01
2020,12,4,0,2020-12-01
2020,10,4,482828,2020-10-01
2020,11,4,482828,2020-11-01
2020,12,4,482828,2020-12-01
2021,1,1,2944,2021-01-01
2021,2,1,2944,2021-02-01
2021,3,1,2944,2021-03-01
2021,1,1,0,2021-01-01
2021,2,1,0,2021-02-01
2021,3,1,0,2021-03-01
2021,1,1,479082,2021-01-01
2021,2,1,479082,2021-02-01
2021,3,1,479082,2021-03-01
2021,4,2,2933,2021-04-01
2021,5,2,2933,2021-05-01
2021,6,2,2933,2021-06-01
2021,4,2,0,2021-04-01
2021,5,2,0,2021-05-01
2021,6,2,0,2021-06-01
2021,4,2,478562,2021-04-01
2021,5,2,478562,2021-05-01
2021,6,2,478562,2021-06-01
2021,7,3,2885,2021-07-01
2021,8,3,2885,2021-08-01
2021,9,3,2885,2021-09-01
2021,7,3,0,2021-07-01
2021,8,3,0,2021-08-01
2021,9,3,0,2021-09-01
2021,7,3,477013,2021-07-01
2021,8,3,477013,2021-08-01
2021,9,3,477013,2021-09-01
2021,10,4,2837,2021-10-01
2021,11,4,2837,2021-11-01
2021,12,4,2837,2021-12-01
2021,10,4,0,2021-10-01
2021,11,4,0,2021-11-01
2021,12,4,0,2021-12-01
2021,10,4,480689,2021-10-01
2021,11,4,480689,2021-11-01
2021,12,4,480689,2021-12-01
2022,1,1,2862,2022-01-01
2022,2,1,2862,2022-02-01
2022,3,1,2862,2022-03-01
2022,1,1,0,2022-01-01
2022,2,1,0,2022-02-01
2022,3,1,0,2022-03-01
2022,1,1,487852,2022-01-01
2022,2,1,487852,2022-02-01
2022,3,1,487852,2022-03-01
2022,4,2,2745,2022-04-01
2022,5,2,2745,2022-05-01
2022,6,2,2745,2022-06-01
2022,4,2,0,2022-04-01
2022,5,2,0,2022-05-01
2022,6,2,0,2022-06-01
2022,4,2,499424,2022-04-01
2022,5,2,499424,2022-05-01
2022,6,2,499424,2022-06-01
2022,7,3,2724,2022-07-01
2022,8,3,2724,2022-08-01
2022,9,3,2724,2022-09-01
2022,7,3,0,2022-07-01
2022,8,3,0,2022-08-01
2022,9,3,0,2022-09-01
2022,7,3,506262,2022-07-01
2022,8,3,506262,2022-08-01
2022,9,3,506262,2022-09-01
2022,10,4,2679,2022-10-01
2022,11,4,2679,2022-11-01
2022,12,4,2679,2022-12-01
2022,10,4,0,2022-10-01
2022,11,4,0,2022-11-01
2022,12,4,0,2022-12-01
2022,10,4,514593,2022-10-01
2022,11,4,514593,2022-11-01
2022,12,4,514593,2022-12-01
2023,1,1,2635,2023-01-01
2023,2,1,2635,2023-02-01
2023,3,1,2635,2023-03-01
2023,1,1,0,2023-01-01
2023,2,1,0,2023-02-01
2023,3,1,0,2023-03-01
2023,1,1,521208,2023-01-01
2023,2,1,521208,2023-02-01
2023,3,1,521208,2023-03-01
2023,4,2,2601,2023-04-01
2023,5,2,2601,2023-05-01
2023,6,2,2601,2023-06-01
2023,4,2,0,2023-04-01
2023,5,2,0,2023-05-01
2023,6,2,0,2023-06-01
2023,4,2,534152,2023-04-01
2023,5,2,534152,2023-05-01
2023,6,2,534152,2023-06-01
2023,7,3,2584,2023-07-01
2023,8,3,2584,2023-08-01
2023,9,3,2584,2023-09-01
2023,7,3,0,2023-07-01
2023,8,3,0,2023-08-01
2023,9,3,0,2023-09-01
2023,7,3,548852,2023-07-01
2023,8,3,548852,2023-08-01
2023,9,3,548852,2023-09-01
2023,10,4,2592,2023-10-01
2023,11,4,2592,2023-11-01
2023,12,4,2592,2023-12-01
2023,10,4,0,2023-10-01
2023,11,4,0,2023-11-01
2023,12,4,0,2023-12-01
2023,10,4,556017,2023-10-01
2023,11,4,556017,2023-11-01
2023,12,4,556017,2023-12-01
2024,1,1,2628,2024-01-01
2024,2,1,2628,2024-02-01
2024,3,1,2628,2024-03-01
2024,1,1,0,2024-01-01
2024,2,1,0,2024-02-01
2024,3,1,0,2024-03-01
2024,1,1,561244,2024-01-01
2024,2,1,561244,2024-02-01
2024,3,1,561244,2024-03-01
2024,4,2,2608,2024-04-01
2024,5,2,2608,2024-05-01
2024,6,2,2608,2024-06-01
2024,4,2,0,2024-04-01
2024,5,2,0,2024-05-01
2024,6,2,0,2024-06-01
2024,4,2,566600,2024-04-01
2024,5,2,566600,2024-05-01
2024,6,2,566600,2024-06-01
2024,7,3,2628,2024-07-01
2024,8,3,2628,2024-08-01
2024,9,3,2628,2024-09-01
2024,7,3,0,2024-07-01
2024,8,3,0,2024-08-01
2024,9,3,0,2024-09-01
2024,7,3,565531,2024-07-01
2024,8,3,565531,2024-08-01
2024,9,3,565531,2024-09-01
2024,10,4,2647,2024-10-01
2024,11,4,2647,2024-11-01
2024,12,4,2647,2024-12-01
2024,10,4,0,2024-10-01
2024,11,4,0,2024-11-01
2024,12,4,0,2024-12-01
2024,10,4,565388,2024-10-01
2024,11,4,565388,2024-11-01
2024,12,4,565388,2024-12-01
2025,1,1,2625,2025-01-01
2025,2,1,2625,2025-02-01
2025,3,1,2625,2025-03-01
2025,1,1,0,2025-01-01
2025,2,1,0,2025-02-01
2025,3,1,0,2025-03-01
2025,1,1,561869,2025-01-01
2025,2,1,561869,2025-02-01
2025,3,1,561869,2025-03-01
