area_fips,own_code,industry_code,agglvl_code,size_code,year,qtr,disclosure_code,qtrly_estabs,month1_emplvl,month2_emplvl,month3_emplvl,total_qtrly_wages,taxable_qtrly_wages,qtrly_contributions,avg_wkly_wage,lq_disclosure_code,lq_qtrly_estabs,lq_month1_emplvl,lq_month2_emplvl,lq_month3_emplvl,lq_total_qtrly_wages,lq_taxable_qtrly_wages,lq_qtrly_contributions,lq_avg_wkly_wage,oty_disclosure_code,oty_qtrly_estabs_chg,oty_qtrly_estabs_pct_chg,oty_month1_emplvl_chg,oty_month1_emplvl_pct_chg,oty_month2_emplvl_chg,oty_month2_emplvl_pct_chg,oty_month3_emplvl_chg,oty_month3_emplvl_pct_chg,oty_total_qtrly_wages_chg,oty_total_qtrly_wages_pct_chg,oty_taxable_qtrly_wages_chg,oty_taxable_qtrly_wages_pct_chg,oty_qtrly_contributions_chg,oty_qtrly_contributions_pct_chg,oty_avg_wkly_wage_chg,oty_avg_wkly_wage_pct_chg,quarter
US000,1,3364,16,0,2020,1,,1,2891,2901,2929,49047236,0,0,1298,,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,,0,0.0,92,3.3,64,2.3,99,3.5,-4284602,-8.0,0,0.0,0,0.0,-156,-10.7,1
US000,3,3364,16,0,2020,1,N,1,0,0,0,0,0,0,0,N,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,N,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1
US000,5,3364,16,0,2020,1,,3436,538543,540194,537914,15306518451,7146420348,99510944,2185,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,84,2.5,16955,3.3,14054,2.7,12377,2.4,-927830309,-5.7,-221287060,-3.0,-12050179,-10.8,-196,-8.2,1
US000,1,3364,16,0,2020,2,,1,2931,2941,2951,49927985,0,0,1306,,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,,0,0.0,125,4.5,114,4.0,122,4.3,2644422,5.6,0,0.0,0,0.0,17,1.3,2
US000,3,3364,16,0,2020,2,N,1,0,0,0,0,0,0,0,N,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,N,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,2
US000,5,3364,16,0,2020,2,,3476,512937,508501,504343,12822619376,1851211905,12924643,1939,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,93,2.7,-14127,-2.7,-20581,-3.9,-31802,-5.9,-278466195,-2.1,193764513,11.7,-2200085,-14.5,40,2.1,2
US000,1,3364,16,0,2020,3,,1,2951,2954,2949,61300092,0,0,1598,,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,,0,0.0,89,3.1,103,3.6,102,3.6,4070648,7.1,0,0.0,0,0.0,55,3.6,3
US000,3,3364,16,0,2020,3,N,1,0,0,0,0,0,0,0,N,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,N,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,3
US000,5,3364,16,0,2020,3,,3533,503765,499578,494261,12034414556,680027477,6077986,1854,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,133,3.9,-35295,-6.5,-38121,-7.1,-41567,-7.8,-752796096,-5.9,-104329576,-13.3,-3449070,-36.2,24,1.3,3
US000,1,3364,16,0,2020,4,,1,2958,2967,2955,61101348,0,0,1588,,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,,0,0.0,106,3.7,90,3.1,70,2.4,10456141,20.6,0,0.0,0,0.0,231,17.0,4
US000,3,3364,16,0,2020,4,N,1,0,0,0,0,0,0,0,N,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,N,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,4
