occupation,employment_2024
Total,161346.0
"Management, professional, and related occupations",70744.0
"Management, business, and financial operations occupations",30602.0
Management occupations,20657.0
Business and financial operations occupations,9945.0
Professional and related occupations,40142.0
Computer and mathematical occupations,6386.0
Architecture and engineering occupations,3552.0
"Life, physical, and social science occupations",1877.0
Community and social service occupations,2950.0
Legal occupations,1832.0
"Education, training, and library occupations",9587.0
"Arts, design, entertainment, sports, and media occupations",3483.0
Healthcare practitioners and technical occupations,10475.0
Service occupations,26452.0
Healthcare support occupations,5456.0
Protective service occupations,3110.0
Food preparation and serving related occupations,8061.0
Building and grounds cleaning and maintenance occupations,5770.0
Personal care and service occupations,4055.0
Sales and office occupations,29885.0
Sales and related occupations,14090.0
Office and administrative support occupations,15795.0
"Natural resources, construction, and maintenance occupations",14391.0
"Farming, fishing, and forestry occupations",970.0
Construction and extraction occupations,8520.0
"Installation, maintenance, and repair occupations",4901.0
"Production, transportation, and material moving occupations",19873.0
Production occupations,7944.0
Transportation and material moving occupations,11930.0
