date,unemployment_rate,gdp,job_postings_index
2020-01-01,3.6,20709.212,
2020-01-01,20709.212,20709.212,
2020-02-01,3.5,,
2020-03-01,4.4,,
2020-04-01,14.8,19077.992,
2020-04-01,19077.992,19077.992,
2020-05-01,13.2,,
2020-06-01,11.0,,
2020-07-01,10.2,20558.879,
2020-07-01,20558.879,20558.879,
2020-08-01,8.4,,
2020-09-01,7.8,,
2020-10-01,6.9,20791.917,
2020-10-01,20791.917,20791.917,
2020-11-01,6.7,,
2020-12-01,6.7,,
2021-01-01,6.4,21082.134,
2021-02-01,6.2,,
2021-03-01,6.1,,
2021-04-01,6.1,21440.929,
2021-05-01,5.8,,
2021-06-01,5.9,,
2021-07-01,5.4,21617.828,
2021-08-01,5.1,,
2021-09-01,4.7,,
2021-10-01,4.5,21988.737,
2021-11-01,4.2,,
2021-12-01,3.9,,
2022-01-01,4.0,21932.71,
2022-02-01,3.8,,
2022-03-01,3.7,,
2022-04-01,3.7,21967.045,
2022-05-01,3.6,,
2022-06-01,3.6,,
2022-07-01,3.5,22125.625,
2022-08-01,3.6,,
2022-09-01,3.5,,
2022-10-01,3.6,22278.345,
2022-11-01,3.6,,
2022-12-01,3.5,,
2023-01-01,3.5,22439.607,
2023-02-01,3.6,,
2023-03-01,3.5,,
2023-04-01,3.4,22580.499,
2023-05-01,3.6,,
2023-06-01,3.6,,
2023-07-01,3.5,22840.989,
2023-08-01,3.7,,
2023-09-01,3.8,,
2023-10-01,3.9,23033.78,
2023-11-01,3.7,,
2023-12-01,3.8,,
2024-01-01,3.7,23082.119,
2024-02-01,3.9,,
2024-03-01,3.9,,
2024-04-01,3.9,23286.508,
2024-05-01,4.0,,
2024-06-01,4.1,,
2024-07-01,4.2,23478.57,
2024-08-01,4.2,,
2024-09-01,4.1,,
2024-10-01,4.1,23586.542,
2024-11-01,4.2,,
2024-12-01,4.1,,
2025-01-01,4.0,23548.21,
2025-02-01,4.1,,
2025-03-01,4.2,,
