"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","qtrly_estabs","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage","lq_disclosure_code","lq_qtrly_estabs","lq_month1_emplvl","lq_month2_emplvl","lq_month3_emplvl","lq_total_qtrly_wages","lq_taxable_qtrly_wages","lq_qtrly_contributions","lq_avg_wkly_wage","oty_disclosure_code","oty_qtrly_estabs_chg","oty_qtrly_estabs_pct_chg","oty_month1_emplvl_chg","oty_month1_emplvl_pct_chg","oty_month2_emplvl_chg","oty_month2_emplvl_pct_chg","oty_month3_emplvl_chg","oty_month3_emplvl_pct_chg","oty_total_qtrly_wages_chg","oty_total_qtrly_wages_pct_chg","oty_taxable_qtrly_wages_chg","oty_taxable_qtrly_wages_pct_chg","oty_qtrly_contributions_chg","oty_qtrly_contributions_pct_chg","oty_avg_wkly_wage_chg","oty_avg_wkly_wage_pct_chg"
"US000","0","10","10","0","2023","3","",11903784,152361567,153202412,154059660,2657693107447,291637868466,4749473259,1334,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",299197,2.6,2491223,1.7,2465429,1.6,2534681,1.7,45346368319,1.7,-18224259208,-5.9,-530782081,-10.1,1,0.1
"US000","1","10","11","0","2023","3","",61674,2943793,2947602,2958063,73368560183,0,0,1913,"",1.00,1.00,1.00,1.00,1.00,0.00,0.00,1.00,"",890,1.5,69631,2.4,87803,3.1,90972,3.2,5853805245,8.7,0,0.0,0,0.0,102,5.6
"US000","1","101","12","0","2023","3","",153,52419,52500,52530,1399831467,0,0,2052,"",1.00,1.00,1.00,1.00,1.00,0.00,0.00,1.00,"",16,11.7,-624,-1.2,-674,-1.3,-427,-0.8,87547506,6.7,0,0.0,0,0.0,149,7.8
"US000","1","1011","13","0","2023","3","",75,4423,4448,4332,103597056,0,0,1811,"",1.00,1.00,1.00,1.00,1.00,0.00,0.00,1.00,"",1,1.4,90,2.1,96,2.2,165,4.0,8453510,8.9,0,0.0,0,0.0,103,6.0
"US000","1","1012","13","0","2023","3","",1,4,5,5,176602,0,0,2911,"",1.00,1.00,1.00,1.00,1.00,0.00,0.00,1.00,"",0,0.0,0,0.0,1,25.0,0,0.0,15084,9.3,0,0.0,0,0.0,44,1.5
"US000","1","1013","13","0","2023","3","",77,47992,48047,48193,1296057809,0,0,2074,"",1.00,1.00,1.00,1.00,1.00,0.00,0.00,1.00,"",15,24.2,-714,-1.5,-771,-1.6,-592,-1.2,79078912,6.5,0,0.0,0,0.0,154,8.0
"US000","1","102","12","0","2023","3","",61521,2891374,2895102,2905533,71968728716,0,0,1911,"",1.00,1.00,1.00,1.00,1.00,0.00,0.00,1.00,"",874,1.4,70255,2.5,88477,3.2,91399,3.2,5766257739,8.7,0,0.0,0,0.0,101,5.6
"US000","1","1021","13","0","2023","3","",30749,670534,667732,667733,12402420529,0,0,1427,"",1.00,1.00,1.00,1.00,1.00,0.00,0.00,1.00,"",433,1.4,683,0.1,8957,1.4,6243,0.9,270815658,2.2,0,0.0,0,0.0,20,1.4
"US000","1","1022","13","0","2023","3","",151,6623,6606,6644,144655151,0,0,1680,"",1.00,1.00,1.00,1.00,1.00,0.00,0.00,1.00,"",4,2.7,84,1.3,196,3.1,202,3.1,9059325,6.7,0,0.0,0,0.0,66,4.1
"US000","1","1023","13","0","2023","3","",826,12803,12836,12844,419023458,0,0,2513,"",1.00,1.00,1.00,1.00,1.00,0.00,0.00,1.00,"",20,2.5,126,1.0,234,1.9,457,3.7,27684528,7.1,0,0.0,0,0.0,115,4.8
"US000","1","1024","13","0","2023","3","",1445,71391,71451,71452,1831366613,0,0,1972,"",1.00,1.00,1.00,1.00,1.00,0.00,0.00,1.00,"",10,0.7,1866,2.7,1829,2.6,2103,3.0,161691456,9.7,0,0.0,0,0.0,124,6.7
"US000","1","1025","13","0","2023","3","",1416,440941,443554,447934,12203435675,0,0,2114,"",1.00,1.00,1.00,1.00,1.00,0.00,0.00,1.00,"",-13,-0.9,15983,3.8,18060,4.2,17265,4.0,1550321764,14.6,0,0.0,0,0.0,195,10.2
"US000","1","1026","13","0","2023","3","",1447,51352,50795,50278,726904946,0,0,1101,"",1.00,1.00,1.00,1.00,1.00,0.00,0.00,1.00,"",23,1.6,2206,4.5,2329,4.8,2912,6.1,55964353,8.3,0,0.0,0,0.0,33,3.1
"US000","1","1027","13","0","2023","3","",165,4910,4925,4923,82464276,0,0,1289,"",1.00,1.00,1.00,1.00,1.00,0.00,0.00,1.00,"",8,5.1,70,1.4,54,1.1,69,1.4,5677735,7.4,0,0.0,0,0.0,72,5.9
"US000","1","1028","13","0","2023","3","",25318,1632818,1637201,1643723,44158396924,0,0,2074,"",1.00,1.00,1.00,1.00,1.00,0.00,0.00,1.00,"",390,1.6,49237,3.1,56818,3.6,62148,3.9,3685031908,9.1,0,0.0,0,0.0,106,5.4
"US000","1","1029","13","0","2023","3","",4,2,2,2,61144,0,0,2352,"",1.00,1.00,1.00,1.00,1.00,0.00,0.00,1.00,"",-1,-20.0,0,0.0,0,0.0,0,0.0,11012,22.0,0,0.0,0,0.0,424,22.0
"US000","1","11","14","0","2023","3","",75,4423,4448,4332,103597056,0,0,1811,"",1.00,1.00,1.00,1.00,1.00,0.00,0.00,1.00,"",1,1.4,90,2.1,96,2.2,165,4.0,8453510,8.9,0,0.0,0,0.0,103,6.0
"US000","1","111","15","0","2023","3","",2,4,4,4,120533,0,0,2318,"",1.00,1.00,1.00,1.00,1.00,0.00,0.00,1.00,"",1,100.0,-4,-50.0,-4,-50.0,-4,-50.0,-63938,-34.7,0,0.0,0,0.0,544,30.7
"US000","1","1111","16","0","2023","3","",2,4,4,4,120533,0,0,2318,"",1.00,1.00,1.00,1.00,1.00,0.00,0.00,1.00,"",1,100.0,-4,-50.0,-4,-50.0,-4,-50.0,-63938,-34.7,0,0.0,0,0.0,544,30.7
"US000","1","11111","17","0","2023","3","",2,4,4,4,120533,0,0,2318,"",1.00,1.00,1.00,1.00,1.00,0.00,0.00,1.00,"",1,100.0,-4,-50.0,-4,-50.0,-4,-50.0,-63938,-34.7,0,0.0,0,0.0,544,30.7
"US000","1","111110","18","0","2023","3","",2,4,4,4,120533,0,0,2318,"",1.00,1.00,1.00,1.00,1.00,0.00,0.00,1.00,"",1,100.0,-4,-50.0,-4,-50.0,-4,-50.0,-63938,-34.7,0,0.0,0,0.0,544,30.7
"US000","1","112","15","0","2023","3","",2,20,20,21,337240,0,0,1276,"",1.00,1.00,1.00,1.00,1.00,0.00,0.00,1.00,"",0,0.0,0,0.0,0,0.0,2,10.5,-48071,-12.5,0,0.0,0,0.0,-231,-15.3
