State/Area,Jan-20,Feb-20,Mar-20,Apr-20,May-20,Jun-20,Jul-20,Aug-20,Sep-20,Oct-20,Nov-20,Dec-20,Jan-21,Feb-21,Mar-21,Apr-21,May-21,Jun-21,Jul-21,Aug-21,Sep-21,Oct-21,Nov-21,Dec-21,Jan-22,Feb-22,Mar-22,Apr-22,May-22,Jun-22,Jul-22,Aug-22,Sep-22,Oct-22,Nov-22,Dec-22,Jan-23,Feb-23,Mar-23,Apr-23,May-23,Jun-23,Jul-23,Aug-23,Sep-23,Oct-23,Nov-23,Dec-23,Jan-24,Feb-24,Mar-24,Apr-24,May-24,Jun-24,Jul-24,Aug-24,Sep-24,Oct-24,Nov-24,Dec-24,Jan-25,Feb-25,Mar-25
U.S. TOTAL employment,"538,543","540,194","537,914","512,937","508,501","504,343","503,765","499,578","494,261","487,347","482,671","482,828","480,452","482,319","479,082","476,178","474,545","478,562","480,266","478,325","477,013","476,804","478,860","480,689","484,056","489,170","487,852","489,512","491,222","499,424","503,419","504,906","506,262","508,878","512,544","514,593","516,384","521,101","521,208","521,463","524,140","534,152","548,014","547,670","548,852","549,286","552,904","556,017","557,671","562,608","561,244","559,115","560,235","566,600","569,178","565,966","565,531","528,390","564,922","565,388","564,169","566,470","561,869"
Washington employment,"89,052","89,880","87,516","85,422","81,952","82,336","78,934","75,869","74,790","72,501","70,976","70,809","69,297","68,519","67,898","67,409","67,130","66,829","66,805","66,660","67,138","67,036","67,921","67,819","68,034","68,964","68,880","69,289","69,781","70,792","71,939","72,611","73,456","73,506","74,395","73,654","74,017","74,381","74,846","75,053","75,914","77,332","78,331","78,925","79,590","79,395","80,670","80,585","80,807","81,531","81,667","81,922","82,312","82,966","83,602","83,490","83,730","52,705","82,864","82,933","82,768","83,787","81,025"
California employment,"77,799","78,727","79,335","77,406","76,575","76,789","76,040","75,427","73,961",73827,"72,679","72,899","72,834","73,473","72,892","72,057","72,064","72,688","72,777","72,328","71,784","71,755","72,002","71,989","76,808","77,359","77,022","77,165","77,284","78,158","79,152","79,320","78,993","79,201","79,752","80,229","81,750","82,427","82,321","82,081","82,583","84,086","94,475","94,147","94,369","93,769","94,108","94,519","93,697","95,250","95,019","93,913","94,210","95,400","95,929","95,111","94,899","93,700","94,185","94,022","93,979","94,169","93,933"
Texas employment,"49,347","49,453","49,470","49,229","48,859","48,954","49,566","49,056","48,838","48,309","48,313","48,336","48,021","48,154","47,970","47,893","47,529","48,041","48,346","48,061","47,721","47,705","47,901","48,271","47,398","47,773","47,645","47,404","47,367","48,242","47,771","47,488","47,357","47,606","47,777","48,230","47,148","47,571","47,604","47,704","47,815","48,707","49,002","48,667","48,748","48,332","48,549","49,210","50,174","50,196","49,883","49,839","49,865","50,516","50,714","50,463","50,168","50,170","50,700","50,497","49,816","49,912","49,781"
Kansas employment,"33,088","32,337","31,951","22,556","23,637","19,251","24,772","25,668","25,476","24,255","23,240","23,282","23,209","23,583","23,630","23,761","23,775","24,275","24,561","24,713","24,998","25,243","25,709","26,046","26,434","26,741","26,914","27,085","27,235","28,081","28,182","28,160","28,516","28,859","29,166","29,334","29,416","29,930","29,600","29,656","29,871","30,563","30,700","30,540","30,888","31,339","31,554","32,093","31,734","32,168","31,769","31,775","31,669","32,229","32,033","31,455","31,531","27,709","31,586","31,425","31,555","31,632","31,536"
Connecticut employment,"32,019","32,118","32,118","31,484","31,430","31,558","31,375","31,252","31,022","30,519","30,264","30,000","30,165","30,147","30,166","29,589","29,582","29,770","29,675","29,489","29,484","29,312","29,332","29,514","29,088","29,274","29,298","29,292","29,189","29,724","29,745","29,738","29,470","29,304","29,442","29,469","29,451","29,576","29,617","29,215","29,346","29,877","30,016","29,886","29,587","29,521","29,541","29,479","29,696","29,696","29,033","28,450","28,475","28,437","29,448","29,308","28,949","28,741","28,664","28,702","28,663","28,492","28,456"
Arizona employment,"31,105","31,043","31,070","30,484","30,540","30,762","30,495","30,441","30,171","30,008","29,997","29,902","29,658","29,815","29,667","29,472","29,487","29,659","29,992","29,900","29,746","29,768","29,720","29,690","29,573","29,787","29,651","29,731","29,758","30,209","30,557","30,567","30,495","30,594","30,621","30,627","30,594","30,792","30,902","31,146","31,259","32,095","32,626","32,733","32,740","32,560","32,672","32,741","32,969","33,117","32,959","32,886","32,868","33,198","33,242","32,729","32,585","32,540","32,514","32,550","32,157","32,137","31,985"
Florida employment,"27,037","27,154","27,230","26,868","26,917","27,237","27,154","26,883","26,721","26,681","26,633","26,760","26,691","26,762","26,938","26,858","26,534","27,221","27,592","27,418","27,254","27,519","27,595","27,747","27,693","27,911","28,091","28,426","28,770","29,337","29,736","29,870","30,123","30,326","30,518","30,795","30,553","30,815","30,978","31,213","31,402","32,039","32,393","32,308","32,352","32,462","32,587","32,721","33,142","33,240","33,323","33,315","33,425","33,724","33,867","33,799","33,908","34,237","34,373","34,528","34,235","34,341","34,162"
Georgia employment,"20,633","20,754","20,582","20,007","19,681","19,111","18,952","18,907","18,911","18,732","18,685","18,858","18,464","18,523","18,425","18,376","18,264","18,405","18,418","18,290","18,359","18,504","18,502","18,728","18,543","18,794","18,721","18,769","18,897","19,183","19,558","19,591","19,758","20,207","20,496","20,707","21,388","21,597","21,814","21,891","22,053","22,541","22,752","22,823","22,927","23,095","23,271","23,438","23,730","23,933","24,068","24,155","24,195","24,445","24,338","24,258","24,283","24,287","24,338","24,483","24,547","24,789","24,526"
Ohio employment,"20,069","20,172","20,146","19,357","18,483","17,778","17,445","16,745","16,510","16,295","16,179","16,045","16,096","15,523","15,443","15,371","15,380","15,906","15,791","15,736","15,649","15,757","15,868","15,981","16,150","16,380","16,508","16,639","16,691","17,060","17,214","17,219","17,184","17,303","17,475","17,548","17,588","17,753","17,868","18,021","17,989","18,402","18,554","18,552","18,470","18,499","18,544","18,692","18,656","18,778","18,900","18,610","18,626","18,970","19,089","19,016","18,980","19,006","19,123","19,244","19,762","19,865","20,004"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Economic Data below ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
U.S. TOTAL Unemployment,Rate of Unemployed ,Total Employed,Total Unemployed,,"All Employees, Total Nonfarm",emloyee numbers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-01-01,3.6,164377,5917.572,,2020-01-01,152031,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-02-01,3.5,164467,5756.345,,2020-02-01,152292,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-01,4.4,162559,7152.596,,2020-03-01,150895,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-04-01,14.8,156269,23127.812,,2020-04-01,130424,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-05-01,13.2,158101,20869.332,,2020-05-01,133040,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-06-01,11,159994,17599.34,,2020-06-01,137671,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-07-01,10.2,160132,16333.464,,2020-07-01,139255,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-08-01,8.4,160706,13499.304,,2020-08-01,140819,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-09-01,7.8,160174,12493.572,,2020-09-01,141770,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-10-01,6.9,161003,11109.207,,2020-10-01,142461,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-11-01,6.7,160629,10762.143,,2020-11-01,142731,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-12-01,6.7,160745,10769.915,,2020-12-01,142548,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-01,6.4,160088,10245.632,,2021-01-01,142913,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-01,6.2,160184,9931.408,,2021-02-01,143422,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-03-01,6.1,160400,9784.4,,2021-03-01,144246,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-04-01,6.1,160843,9811.423,,2021-04-01,144611,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-05-01,5.8,160800,9326.4,,2021-05-01,145032,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-06-01,5.9,161197,9510.623,,2021-06-01,145828,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-07-01,5.4,161504,8721.216,,2021-07-01,146759,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-08-01,5.1,161527,8237.877,,2021-08-01,147246,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-09-01,4.7,161495,7590.265,,2021-09-01,147712,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-10-01,4.5,161754,7278.93,,2021-10-01,148569,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-11-01,4.2,162281,6815.802,,2021-11-01,149206,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-12-01,3.9,162497,6337.383,,2021-12-01,149781,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-01-01,4,163627,6545.08,,2022-01-01,150006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-02-01,3.8,163899,6228.162,,2022-02-01,150875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
